Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
141	5	1071	0.2479150891304016	0.6106442577030813	654.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_TERRENO in (552.0, 21167.36] AND Y in (7791068.0, 7795429.5] AND AREA_CONSTRUCAO in (399.06, 3444.27]
142	5	1071	0.2479150891304016	0.6106442577030813	654.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND X in (609126.25, 614244.56] AND Y in (7791068.0, 7795429.5] AND AREA_CONSTRUCAO in (399.06, 3444.27]
143	5	1071	0.2479150891304016	0.6106442577030813	654.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND Y in (7791068.0, 7795429.5] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (399.06, 3444.27]
144	5	1071	0.2479150891304016	0.6106442577030813	654.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND Y in (7791068.0, 7795429.5] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND X in (608790.4, 614244.56]
145	4	1074	0.24763347208499908	0.6089385474860335	654.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND Y in (7791068.0, 7795429.5] AND AREA_CONSTRUCAO in (399.06, 3444.27]
146	5	1315	0.24739764630794525	0.5422053231939163	713.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf) AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, inf)
147	5	1315	0.24739764630794525	0.5422053231939163	713.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, inf) AND AREA_TERRENO in (413.0, inf)
148	5	1315	0.24739764630794525	0.5422053231939163	713.0	NaN	Y in (-inf, 7793429.0] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (413.0, inf) AND Y in (7791068.0, inf)
149	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND AREA_TERRENO in (413.0, inf) AND TIPO_CONSTRUTIVO = 'CASA'
150	5	1321	0.2472299188375473	0.5404996214988645	714.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (403.95, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (413.0, inf)
